#{"t_start": 1761576844.9446628, "env_id": "None"}
r,l,t
-441.0,60,43.043245
-405.0,96,43.112887
-405.0,96,43.184653
-405.0,96,43.25357
-416.0,85,43.319366
-470.0,31,43.342739
-411.0,90,43.409118
-405.0,96,43.479921
-405.0,96,43.548613
-405.0,96,44.429982
-406.0,95,44.511968
-405.0,96,44.594087
-408.0,93,44.66624
-410.0,91,44.736442
-411.0,90,44.808483
-421.0,80,44.876086
-405.0,96,44.953552
-413.0,88,45.061692
-405.0,96,45.166975
-406.0,95,45.247016
-405.0,96,46.066411
-405.0,96,46.135544
-405.0,96,46.202049
-405.0,96,46.269722
-405.0,96,46.338948
-405.0,96,46.402061
-405.0,96,46.462728
-407.0,94,46.52267
-405.0,96,46.585554
-405.0,96,46.647328
-405.0,96,46.713819
-414.0,87,47.681014
-470.0,31,47.71074
-405.0,96,47.791899
-405.0,96,47.871269
-405.0,96,47.945743
-407.0,94,48.018065
-409.0,92,48.136534
-405.0,96,48.22239
-405.0,96,48.304045
-408.0,93,48.384747
-405.0,96,48.451502
-405.0,96,48.530116
-405.0,96,49.346466
-405.0,96,49.421727
-405.0,96,49.49354
-405.0,96,49.841175
-405.0,96,49.94506
-405.0,96,50.016284
-423.0,78,50.07104
-470.0,31,50.093443
-470.0,31,50.114067
-470.0,31,50.134843
-405.0,96,50.204238
-405.0,96,50.272
-405.0,96,50.340769
-405.0,96,51.289377
-405.0,96,51.367821
-405.0,96,51.453121
-405.0,96,51.533796
-405.0,96,51.610843
-433.0,68,51.668396
-405.0,96,51.748902
-470.0,31,51.77718
-406.0,95,51.855598
-408.0,93,51.925195
-405.0,96,52.009833
-405.0,96,53.06604
-405.0,96,53.15182
-408.0,93,53.231515
-406.0,95,53.305062
-405.0,96,53.384053
-405.0,96,53.455303
-417.0,84,53.51989
-405.0,96,53.59691
-470.0,31,53.617927
-405.0,96,53.693059
-405.0,96,53.771588
-405.0,96,53.843411
-408.0,93,54.773657
-405.0,96,54.853748
-405.0,96,54.920549
-405.0,96,54.99235
-405.0,96,55.063998
-410.0,91,55.125995
-405.0,96,55.184383
-405.0,96,55.242243
-406.0,95,55.294413
-405.0,96,55.34909
-405.0,96,55.943803
-405.0,96,55.999551
-405.0,96,56.053167
-408.0,93,56.105754
-405.0,96,56.155065
-405.0,96,56.207921
-405.0,96,56.262681
-405.0,96,56.319808
-405.0,96,56.377713
-405.0,96,56.434107
-405.0,96,56.492315
-405.0,96,57.257277
-405.0,96,57.329362
-405.0,96,57.396044
-405.0,96,57.457593
-407.0,94,57.516451
-405.0,96,57.576706
-405.0,96,57.636757
-407.0,94,57.694131
-405.0,96,57.751904
-407.0,94,57.80826
-405.0,96,57.865037
-405.0,96,58.468497
-405.0,96,58.526214
-405.0,96,58.581735
-407.0,94,58.644379
-405.0,96,58.700123
-405.0,96,58.755401
-470.0,31,58.773049
-405.0,96,58.82897
-405.0,96,58.885471
-405.0,96,58.95851
-405.0,96,59.029147
-470.0,31,59.052375
-405.0,96,59.860284
-405.0,96,59.92739
-405.0,96,60.000541
-405.0,96,60.063486
-405.0,96,60.134738
-470.0,31,60.156334
-405.0,96,60.21883
-406.0,95,60.277526
-405.0,96,60.336454
-470.0,31,60.354671
-405.0,96,60.411983
-407.0,94,60.466743
-405.0,96,61.022908
-405.0,96,61.075701
-407.0,94,61.129115
-405.0,96,61.182694
-447.0,54,61.226068
-405.0,96,61.336337
-405.0,96,61.410025
-405.0,96,61.494745
-405.0,96,61.590761
-405.0,96,61.665035
-405.0,96,61.746747
-405.0,96,62.567986
-405.0,96,62.640182
-405.0,96,62.712584
-405.0,96,62.781879
-405.0,96,62.849565
-405.0,96,62.908507
-405.0,96,62.965025
-405.0,96,63.022371
-405.0,96,63.079953
-410.0,91,63.134548
-405.0,96,63.192583
-405.0,96,64.024509
-405.0,96,64.360655
-405.0,96,64.435338
-405.0,96,64.500221
-407.0,94,64.561307
-405.0,96,64.623928
-405.0,96,64.682101
-405.0,96,64.736935
-405.0,96,64.794421
-405.0,96,64.852341
-405.0,96,64.912018
-410.0,91,65.536444
-405.0,96,65.623111
-405.0,96,65.694402
-405.0,96,65.772773
-405.0,96,65.854513
-470.0,31,65.875336
-405.0,96,65.953998
-407.0,94,66.028511
-406.0,95,66.095052
-405.0,96,66.165082
-405.0,96,66.235482
-405.0,96,66.930061
-405.0,96,67.007863
-405.0,96,67.097449
-405.0,96,67.159103
-405.0,96,67.222001
-405.0,96,67.284952
-405.0,96,67.339662
-405.0,96,67.393632
-405.0,96,67.44683
-405.0,96,67.501338
-408.0,93,67.551633
-405.0,96,68.10369
-405.0,96,68.164423
-405.0,96,68.259792
-405.0,96,68.341551
-405.0,96,68.412593
-405.0,96,68.488456
-405.0,96,68.556344
-405.0,96,68.62029
-470.0,31,68.641783
-409.0,92,68.702568
-405.0,96,68.760364
-411.0,90,69.372328
-407.0,94,69.433841
-405.0,96,69.492327
-405.0,96,69.55262
-405.0,96,69.60868
-405.0,96,69.665091
-405.0,96,69.721838
-405.0,96,69.77827
-405.0,96,69.831291
-405.0,96,69.882291
-405.0,96,69.936068
-405.0,96,70.531344
-410.0,91,70.606934
-405.0,96,70.722753
-407.0,94,70.797286
-405.0,96,70.865991
-405.0,96,70.927663
-470.0,31,70.947728
-405.0,96,71.006272
-405.0,96,71.063529
-405.0,96,71.120234
-405.0,96,71.181001
-409.0,92,71.802001
-405.0,96,71.859344
-405.0,96,71.916421
-408.0,93,71.969762
-405.0,96,72.023238
-407.0,94,72.074522
-405.0,96,72.127703
-405.0,96,72.181139
-405.0,96,72.240318
-405.0,96,72.297184
-407.0,94,72.390941
-409.0,92,73.177401
-405.0,96,73.24277
-405.0,96,73.306392
-407.0,94,73.368964
-412.0,89,73.425692
-406.0,95,73.487211
-405.0,96,73.549851
-405.0,96,73.641857
-407.0,94,73.70039
-407.0,94,73.759222
-409.0,92,73.818881
-405.0,96,74.514391
-408.0,93,74.576841
-405.0,96,74.64074
-405.0,96,74.706259
-405.0,96,74.76926
-407.0,94,74.831414
-405.0,96,74.888861
-405.0,96,74.945465
-407.0,94,75.007585
-405.0,96,75.082917
-405.0,96,75.160796
-405.0,96,76.001465
-405.0,96,76.065481
-405.0,96,76.130661
-406.0,95,76.195227
-405.0,96,76.256826
-405.0,96,76.313967
-437.0,64,76.350031
-405.0,96,76.406108
-405.0,96,76.457816
-405.0,96,76.721427
-405.0,96,76.783903
-405.0,96,77.481411
-405.0,96,77.570625
-405.0,96,77.642066
-405.0,96,77.716437
-470.0,31,77.737607
-405.0,96,77.807091
-405.0,96,77.890934
-405.0,96,77.964789
-405.0,96,78.051686
-405.0,96,78.132135
-407.0,94,78.198697
-405.0,96,78.930483
-405.0,96,78.993937
-405.0,96,79.053928
-405.0,96,79.114237
-405.0,96,79.17393
-405.0,96,79.229812
-405.0,96,79.283294
-405.0,96,79.337681
-405.0,96,79.390269
-470.0,31,79.407985
-405.0,96,79.468633
-405.0,96,80.305958
-405.0,96,80.378958
-405.0,96,80.465564
-405.0,96,80.543968
-405.0,96,80.624594
-405.0,96,80.716156
-405.0,96,80.779348
-405.0,96,80.861514
-470.0,31,80.88261
-405.0,96,80.949984
-405.0,96,81.009333
-405.0,96,81.069713
-405.0,96,81.69388
-405.0,96,81.754262
-405.0,96,81.816992
-405.0,96,81.878596
-405.0,96,81.94567
-405.0,96,82.033092
-405.0,96,82.124123
-405.0,96,82.195971
-405.0,96,82.265182
-405.0,96,82.331249
-405.0,96,83.020706
-405.0,96,83.086793
-405.0,96,83.148499
-405.0,96,83.208319
-470.0,31,83.227551
-470.0,31,83.246351
-405.0,96,83.304026
-405.0,96,83.362111
-405.0,96,83.421915
-405.0,96,83.484636
-405.0,96,83.547965
-405.0,96,83.607198
-405.0,96,84.270675
-405.0,96,84.348538
-405.0,96,84.437571
-470.0,31,84.458498
-405.0,96,84.529029
-405.0,96,84.597342
-405.0,96,84.660371
-405.0,96,84.721219
-405.0,96,84.783621
-405.0,96,84.847128
-405.0,96,84.902978
-405.0,96,84.958678
-405.0,96,85.519189
-405.0,96,85.573421
-405.0,96,85.627191
-405.0,96,85.679624
-405.0,96,85.729601
-405.0,96,85.779513
-405.0,96,85.831809
-405.0,96,85.890938
-405.0,96,85.945159
-405.0,96,85.997775
-405.0,96,86.641033
-405.0,96,86.726014
-405.0,96,86.822584
-405.0,96,86.893977
-405.0,96,86.962929
-405.0,96,87.020782
-405.0,96,87.081
-405.0,96,87.138867
-405.0,96,87.201212
-405.0,96,87.258882
-405.0,96,87.313723
-405.0,96,87.878154
-405.0,96,87.93132
-405.0,96,87.984509
-405.0,96,88.038716
-405.0,96,88.092167
-405.0,96,88.149196
-405.0,96,88.206837
-405.0,96,88.260775
-405.0,96,88.31397
-405.0,96,88.366608
-405.0,96,88.419832
-470.0,31,89.078879
-470.0,31,89.104943
-470.0,31,89.128219
-470.0,31,89.152093
-470.0,31,89.175117
-405.0,96,89.244383
-405.0,96,89.310101
-405.0,96,89.374635
-405.0,96,89.443879
-405.0,96,89.690009
-405.0,96,89.743027
-405.0,96,89.795017
-405.0,96,89.850208
-405.0,96,89.903405
-405.0,96,90.486306
-405.0,96,90.540896
-405.0,96,90.594878
-405.0,96,90.652053
-470.0,31,90.67001
-405.0,96,90.723322
-405.0,96,90.774265
-470.0,31,90.790774
-405.0,96,90.846004
-405.0,96,90.901693
-405.0,96,90.957111
-405.0,96,91.017161
-405.0,96,91.960207
-405.0,96,92.033992
-405.0,96,92.102703
-405.0,96,92.168436
-407.0,94,92.238915
-405.0,96,92.298161
-407.0,94,92.358957
-407.0,94,92.41548
-406.0,95,92.472031
-405.0,96,92.526047
-415.0,86,92.573549
-405.0,96,93.143658
-405.0,96,93.197657
-405.0,96,93.24919
-405.0,96,93.301737
-470.0,31,93.319424
-405.0,96,93.373106
-408.0,93,93.422101
-405.0,96,93.494744
-405.0,96,93.561417
-405.0,96,93.636808
-407.0,94,93.712433
-405.0,96,94.458645
-405.0,96,94.526293
-405.0,96,94.587826
-405.0,96,94.649271
-405.0,96,94.705121
-405.0,96,94.757595
-411.0,90,94.805121
-405.0,96,94.858215
-405.0,96,94.910678
-405.0,96,94.963085
-406.0,95,95.015618
-405.0,96,95.587554
-405.0,96,95.646708
-470.0,31,95.664454
-416.0,85,95.725861
-405.0,96,95.78828
-405.0,96,95.877746
-405.0,96,95.953259
-405.0,96,96.030107
-405.0,96,96.097009
-405.0,96,96.168513
-470.0,31,96.188956
-405.0,96,96.24813
-409.0,92,96.871437
-405.0,96,96.930981
-405.0,96,96.985657
-405.0,96,97.03975
-405.0,96,97.091999
-405.0,96,97.144321
-470.0,31,97.162755
-405.0,96,97.217365
-405.0,96,97.269873
-407.0,94,97.321607
-405.0,96,97.373481
-405.0,96,97.958142
-405.0,96,98.019049
-405.0,96,98.077315
-405.0,96,98.146991
-405.0,96,98.250032
-405.0,96,98.333413
-405.0,96,98.400229
-405.0,96,98.466149
-405.0,96,98.527065
-407.0,94,98.582195
-405.0,96,98.640211
-405.0,96,99.253661
-405.0,96,99.311727
-405.0,96,99.370301
-405.0,96,99.425687
-405.0,96,99.487475
-405.0,96,99.545227
-405.0,96,99.602877
-405.0,96,99.659214
-405.0,96,99.714335
-405.0,96,99.765207
-405.0,96,99.819325
-405.0,96,100.451098
-405.0,96,100.535735
-405.0,96,100.619937
-405.0,96,100.702476
-405.0,96,100.771008
-405.0,96,100.838259
-405.0,96,100.903374
-406.0,95,100.961722
-405.0,96,101.022149
-405.0,96,101.083488
-405.0,96,101.687721
-405.0,96,101.745822
-405.0,96,101.803062
-405.0,96,101.862833
-405.0,96,102.115801
-405.0,96,102.174308
-408.0,93,102.232836
-405.0,96,102.290148
-405.0,96,102.348615
-405.0,96,102.410313
-427.0,74,102.461276
-405.0,96,103.248749
-405.0,96,103.325623
-470.0,31,103.34854
-405.0,96,103.42047
-410.0,91,103.4921
-405.0,96,103.563902
-405.0,96,103.62906
-405.0,96,103.693669
-405.0,96,103.755061
-405.0,96,103.815633
-405.0,96,103.878321
-405.0,96,103.938449
-405.0,96,104.516439
-405.0,96,104.569118
-405.0,96,104.621974
-405.0,96,104.682515
-470.0,31,104.698961
-405.0,96,104.764927
-405.0,96,104.823631
-405.0,96,104.87999
-405.0,96,104.943746
-405.0,96,105.000614
-405.0,96,105.073532
-405.0,96,105.851419
-405.0,96,105.918347
-405.0,96,105.985344
-405.0,96,106.054607
-405.0,96,106.118697
-405.0,96,106.185456
-405.0,96,106.253182
-405.0,96,106.319016
-405.0,96,106.381343
-405.0,96,106.440895
-470.0,31,106.460158
-405.0,96,107.102035
-405.0,96,107.17465
-405.0,96,107.243193
-405.0,96,107.310494
-405.0,96,107.373714
-405.0,96,107.444192
-405.0,96,107.518814
-405.0,96,107.584543
-405.0,96,107.660525
-405.0,96,107.728454
-405.0,96,107.791403
-405.0,96,108.406168
-470.0,31,108.426067
-405.0,96,108.486118
