#{"t_start": 1761578750.4681647, "env_id": "None"}
r,l,t
-405.0,96,73.999537
-405.0,96,74.07992
-405.0,96,74.155666
-470.0,31,74.182268
-405.0,96,74.254786
-405.0,96,74.334533
-470.0,31,74.361825
-470.0,31,74.38775
-405.0,96,74.467156
-470.0,31,74.494736
-470.0,31,74.523072
-470.0,31,74.553353
-405.0,96,74.635513
-412.0,89,74.718037
-405.0,96,74.807845
-405.0,96,74.893574
-470.0,31,74.921435
-405.0,96,75.002072
-405.0,96,75.07706
-470.0,31,75.103068
-405.0,96,75.194951
-405.0,96,75.292133
-410.0,91,78.03809
-411.0,90,78.123526
-405.0,96,78.221224
-470.0,31,78.247042
-405.0,96,78.33333
-405.0,96,78.423203
-405.0,96,78.512085
-470.0,31,78.542787
-405.0,96,78.640939
-405.0,96,78.73374
-411.0,90,78.815896
-405.0,96,78.901253
-405.0,96,79.025665
-470.0,31,79.051203
-405.0,96,79.135954
-405.0,96,79.225039
-470.0,31,79.251543
-405.0,96,79.340617
-405.0,96,79.428011
-408.0,93,79.506853
-405.0,96,79.584405
-408.0,93,79.661986
-405.0,96,79.749234
-405.0,96,79.845786
-470.0,31,79.877826
-405.0,96,82.444414
-405.0,96,82.530339
-470.0,31,82.558473
-405.0,96,82.65296
-405.0,96,82.749984
-405.0,96,82.85273
-405.0,96,82.989137
-405.0,96,83.094656
-405.0,96,83.202839
-405.0,96,83.282887
-405.0,96,83.366229
-405.0,96,83.452536
-405.0,96,83.538014
-405.0,96,83.626494
-470.0,31,83.6549
-405.0,96,83.756731
-405.0,96,83.856984
-406.0,95,83.963381
-470.0,31,83.995897
-405.0,96,84.089539
-405.0,96,84.172899
-405.0,96,84.262202
-405.0,96,84.344092
-470.0,31,84.36904
-405.0,96,86.946805
-405.0,96,87.046629
-470.0,31,87.076677
-405.0,96,87.164014
-470.0,31,87.190361
-405.0,96,87.289474
-405.0,96,87.394842
-470.0,31,87.425209
-470.0,31,87.455051
-405.0,96,87.54539
-405.0,96,87.634888
-470.0,31,87.666518
-470.0,31,87.708442
-470.0,31,87.742699
-405.0,96,87.831113
-470.0,31,87.864034
-470.0,31,87.894673
-405.0,96,87.990272
-405.0,96,88.081742
-470.0,31,88.1112
-470.0,31,88.172124
-405.0,96,88.266728
-470.0,31,88.300257
-405.0,96,88.39125
-405.0,96,88.479944
-405.0,96,88.574073
-405.0,96,88.666409
-470.0,31,88.701762
-470.0,31,88.735285
-405.0,96,88.826423
-470.0,31,88.854025
-470.0,31,88.881752
-405.0,96,91.858922
-470.0,31,91.88843
-470.0,31,91.918786
-470.0,31,91.948723
-405.0,96,92.040829
-470.0,31,92.069286
-405.0,96,92.15712
-405.0,96,92.253624
-470.0,31,92.288423
-405.0,96,92.381964
-405.0,96,92.472889
-405.0,96,92.559734
-405.0,96,92.654531
-470.0,31,92.683538
-470.0,31,92.711006
-470.0,31,92.738485
-405.0,96,92.831719
-405.0,96,92.930378
-405.0,96,93.026203
-405.0,96,93.123264
-470.0,31,93.153441
-470.0,31,93.183618
-405.0,96,93.28284
-405.0,96,93.388632
-405.0,96,93.482666
-470.0,31,93.513361
-470.0,31,93.546403
-405.0,96,93.653821
-470.0,31,93.682016
-405.0,96,93.778911
-405.0,96,96.832754
-405.0,96,96.937812
-470.0,31,96.967728
-405.0,96,97.053653
-405.0,96,97.141514
-405.0,96,97.231136
-405.0,96,97.331008
-405.0,96,97.424609
-470.0,31,97.456411
-470.0,31,97.48743
-405.0,96,97.579602
-405.0,96,97.683273
-405.0,96,97.781486
-405.0,96,97.874473
-405.0,96,97.960106
-405.0,96,98.047504
-405.0,96,98.138245
-405.0,96,98.232879
-470.0,31,98.262024
-470.0,31,98.291106
-405.0,96,98.389186
-470.0,31,98.421389
-405.0,96,98.514508
-405.0,96,98.608326
-405.0,96,98.696946
-405.0,96,98.792279
-405.0,96,101.659791
-470.0,31,101.692012
-405.0,96,101.777366
-405.0,96,101.868189
-470.0,31,101.897011
-405.0,96,101.983926
-405.0,96,102.067706
-470.0,31,102.095098
-405.0,96,102.198
-470.0,31,102.277441
-405.0,96,102.413001
-405.0,96,102.503871
-405.0,96,102.592271
-407.0,94,102.684577
-405.0,96,102.784872
-405.0,96,102.871444
-405.0,96,102.95874
-470.0,31,102.99061
-405.0,96,103.127501
-405.0,96,103.222611
-405.0,96,103.320008
-405.0,96,103.415337
-405.0,96,103.500866
-405.0,96,103.588892
-470.0,31,103.616976
-405.0,96,106.527144
-405.0,96,106.615493
-405.0,96,106.697474
-405.0,96,106.784197
-405.0,96,106.873808
-405.0,96,106.986153
-470.0,31,107.023623
-405.0,96,107.124463
-470.0,31,107.148824
-405.0,96,107.243097
-405.0,96,107.342025
-405.0,96,107.445894
-470.0,31,107.472529
-405.0,96,107.558571
-405.0,96,107.661763
-405.0,96,107.765853
-405.0,96,107.860943
-470.0,31,107.894416
-405.0,96,107.996752
-405.0,96,108.079788
-405.0,96,108.164876
-470.0,31,108.193428
-470.0,31,108.222735
-405.0,96,108.310583
-405.0,96,108.403492
-405.0,96,108.525673
-405.0,96,111.331171
-405.0,96,111.432656
-405.0,96,111.535544
-405.0,96,111.62612
-405.0,96,111.708269
-405.0,96,111.78289
-405.0,96,111.881115
-405.0,96,111.966234
-470.0,31,111.992004
-405.0,96,112.071177
-405.0,96,112.144769
-405.0,96,112.230815
-470.0,31,112.260695
-405.0,96,112.338985
-405.0,96,112.415643
-405.0,96,112.509562
-405.0,96,112.601144
-405.0,96,112.684025
-405.0,96,112.762021
-405.0,96,112.842207
-405.0,96,112.91832
-405.0,96,113.003151
-405.0,96,115.54976
