#{"t_start": 1761572684.9968417, "env_id": "None"}
r,l,t
-94.2,59,29.225292
-93.5,66,29.319437
-97.0,31,29.359345
-97.0,31,29.400269
-97.0,31,29.437519
-97.0,31,29.477375
-97.0,31,29.515966
-97.0,31,29.549796
-97.0,31,29.583636
-92.8,73,29.666033
-91.6,85,29.760985
-97.0,31,29.793141
-97.0,31,29.829516
-97.0,31,29.872128
-97.0,31,29.905501
-97.0,31,29.946677
-97.0,31,29.981271
-97.0,31,30.019161
-93.2,69,30.088481
-97.0,31,30.132356
-97.0,31,30.169925
-97.0,31,30.203828
-93.1,70,30.282787
-93.0,71,30.36413
-93.1,70,30.486072
-97.0,31,30.522615
-90.8,93,30.643233
-97.0,31,30.685012
-97.0,31,30.717477
-97.0,31,30.749357
-93.3,68,30.826587
-97.0,31,30.859026
-97.0,31,30.89006
-97.0,31,30.928635
-97.0,31,30.974326
-97.0,31,31.00998
-91.2,89,31.119469
-97.0,31,31.160913
-97.0,31,31.200632
-90.5,96,31.347519
-93.1,70,31.428517
-97.0,31,31.462833
-95.2,49,31.516541
-97.0,31,31.553237
-97.0,31,31.591869
-97.0,31,31.625147
-90.5,96,31.754535
-97.0,31,31.797641
-97.0,31,31.830486
-97.0,31,31.866364
-97.0,31,31.897875
-97.0,31,31.930117
-97.0,31,31.973116
-97.0,31,32.011838
-97.0,31,32.046039
-97.0,31,32.081768
-97.0,31,32.120962
-91.2,89,32.220427
-94.5,56,32.278885
-97.0,31,32.313505
-97.0,31,32.348298
-97.0,31,32.378838
-97.0,31,32.416969
-97.0,31,32.454705
-97.0,31,32.493714
-97.0,31,32.525162
-97.0,31,32.557967
-97.0,31,32.594109
-97.0,31,32.629422
-97.0,31,32.656772
-92.2,79,32.73768
-97.0,31,32.773272
-97.0,31,32.817489
-97.0,31,32.852403
-97.0,31,32.902709
-97.0,31,32.945795
-97.0,31,32.983923
-97.0,31,33.018348
-97.0,31,33.056348
-97.0,31,33.098954
-97.0,31,33.136132
-97.0,31,33.168876
-97.0,31,33.199914
-97.0,31,33.23754
-97.0,31,33.279544
-93.2,69,33.363126
-97.0,31,33.405513
-90.2,99,33.52888
-97.0,31,33.570198
-91.6,85,33.687171
-97.0,31,33.722108
-97.0,31,33.757028
-91.6,85,33.860619
-97.0,31,33.900518
-97.0,31,33.937651
-97.0,31,33.975275
-97.0,31,34.017136
-97.0,31,34.054966
-93.0,71,34.144184
-91.9,82,34.232244
-93.5,66,34.314924
-97.0,31,34.3467
-97.0,31,34.382411
-97.0,31,34.418959
-97.0,31,34.45343
-97.0,31,34.487379
-97.0,31,34.533512
-97.0,31,34.565585
-97.0,31,34.596553
-90.5,96,34.727593
-97.0,31,34.764308
-96.1,40,34.812518
-97.0,31,34.868459
-93.3,68,34.959709
-97.0,31,35.001045
-97.0,31,35.042589
-93.0,71,35.164474
-97.0,31,35.204326
-97.0,31,35.251909
-97.0,31,35.294519
-97.0,31,35.323429
-92.7,74,35.432974
-91.9,82,35.523487
-93.1,70,35.596584
-94.5,56,35.710471
-97.0,31,35.751427
-93.3,68,35.830474
-97.0,31,35.868046
-97.0,31,35.904872
-91.6,85,36.009772
-97.0,31,36.082547
-97.0,31,36.126962
-91.9,82,36.218199
-91.7,84,36.327969
-97.0,31,36.367936
-91.9,82,36.46711
-97.0,31,36.500721
-92.1,80,36.597974
-97.0,31,36.629209
-90.5,96,36.735857
-97.0,31,36.767851
-97.0,31,36.806749
-97.0,31,36.849941
-91.9,82,36.947248
-97.0,31,36.991446
-97.0,31,37.022363
-97.0,31,37.063309
-97.0,31,37.096566
-97.0,31,37.132986
-97.0,31,37.16843
-97.0,31,37.205027
-92.1,80,37.291051
-97.0,31,37.32912
-97.0,31,37.370525
-97.0,31,37.403253
-97.0,31,37.451541
-90.5,96,37.583892
-97.0,31,37.628823
-97.0,31,37.681345
-97.0,31,37.721293
-93.6,65,37.798745
-97.0,31,37.832007
-97.0,31,37.872829
-90.5,96,37.987208
-97.0,31,38.027417
-97.0,31,38.06478
-97.0,31,38.100324
-97.0,31,38.134515
-97.0,31,38.170149
-97.0,31,38.210078
-97.0,31,38.238461
-93.8,63,38.307086
-90.5,96,38.419294
-97.0,31,38.45546
-97.0,31,38.495984
-90.5,96,38.612966
-97.0,31,38.64696
-97.0,31,38.68303
-90.5,96,38.817732
-93.6,65,38.892951
-92.6,75,38.985986
-97.0,31,39.026781
-97.0,31,39.061396
-97.0,31,39.09787
-97.0,31,39.139306
-90.5,96,39.252566
-97.0,31,39.289649
-97.0,31,39.329543
-97.0,31,39.356874
-97.0,31,39.393463
-97.0,31,39.494489
-97.0,31,39.525069
-92.4,77,39.613768
-93.7,64,39.683334
-97.0,31,39.716191
-97.0,31,39.749749
-97.0,31,39.784922
-90.5,96,39.892334
-97.0,31,39.9288
-90.5,96,40.045227
-90.5,96,40.155714
-90.5,96,40.266326
-91.6,85,40.356736
-97.0,31,40.394846
-97.0,31,40.435927
-92.4,77,40.558891
-97.0,31,40.59405
-97.0,31,40.622911
-97.0,31,40.663838
-90.2,99,40.770368
-97.0,31,40.802731
-90.5,96,40.920167
-90.5,96,41.093757
-90.5,96,41.214671
-91.3,88,41.31346
-90.5,96,41.427118
-97.0,31,41.462961
-90.5,96,41.566404
-97.0,31,41.602259
-97.0,31,41.638525
-97.0,31,41.675006
-97.0,31,41.706895
-93.4,67,41.785419
-97.0,31,41.819508
-97.0,31,41.85711
-97.0,31,41.896653
-97.0,31,41.933528
-89.8,103,42.063529
-97.0,31,42.108248
-91.8,83,42.20134
-97.0,31,42.245517
-97.0,31,42.286285
-97.0,31,42.316134
-97.0,31,42.345597
-97.0,31,42.382675
-92.7,74,42.468155
-97.0,31,42.50171
-97.0,31,42.539524
-97.0,31,42.568909
-93.3,68,42.649244
-97.0,31,42.750747
-90.5,96,42.854632
-97.0,31,42.889433
-97.0,31,42.921813
-97.0,31,42.967697
-97.0,31,43.002993
-97.0,31,43.0378
-97.0,31,43.076081
-97.0,31,43.112485
-90.4,97,43.218949
-97.0,31,43.250208
-90.5,96,43.35917
-97.0,31,43.396218
-90.5,96,43.497914
-97.0,31,43.530636
-97.0,31,43.565538
-91.9,82,43.647743
-97.0,31,43.686056
-90.5,96,43.798586
-90.5,96,43.925628
-97.0,31,43.967946
-97.0,31,44.000854
-94.4,57,44.062249
-97.0,31,44.097846
-97.0,31,44.134754
-97.0,31,44.16738
-97.0,31,44.206565
-97.0,31,44.247654
-97.0,31,44.285033
-97.0,31,44.326059
-97.0,31,44.373135
-90.5,96,44.482821
-97.0,31,44.519487
-97.0,31,44.548835
-97.0,31,44.584885
-97.0,31,44.619804
-97.0,31,44.653116
-97.0,31,44.689982
-97.0,31,44.727126
-97.0,31,44.758915
-97.0,31,44.788866
-97.0,31,44.821586
-97.0,31,44.854579
-90.8,93,44.992271
-97.0,31,45.026919
-97.0,31,45.06123
-97.0,31,45.096279
-97.0,31,45.130248
-93.4,67,45.200395
-90.5,96,45.304637
-97.0,31,45.343565
-97.0,31,45.383508
-97.0,31,45.42168
-97.0,31,45.460936
-97.0,31,45.497429
-97.0,31,45.544579
-97.0,31,45.580668
-97.0,31,45.614999
-90.9,92,45.716026
-97.0,31,45.755461
-97.0,31,45.792264
-97.0,31,45.834577
-90.5,96,45.964743
-91.8,83,46.077526
-97.0,31,46.119553
-97.0,31,46.201094
-90.5,96,46.380905
-97.0,31,46.421751
-90.5,96,46.538257
-90.5,96,46.662057
-97.0,31,46.70835
-97.0,31,46.74396
-97.0,31,46.779387
-90.5,96,46.884391
-97.0,31,46.919378
-94.2,59,46.970879
-97.0,31,47.05072
-97.0,31,47.08991
-97.0,31,47.129273
-97.0,31,47.155683
-97.0,31,47.192984
-97.0,31,47.223848
-97.0,31,47.252053
-90.5,96,47.355956
-97.0,31,47.386321
-97.0,31,47.417664
-97.0,31,47.458452
-97.0,31,47.489463
-97.0,31,47.52276
-90.5,96,47.63615
-97.0,31,47.673009
-97.0,31,47.702984
-93.2,69,47.772896
-93.0,71,47.857085
-97.0,31,47.885562
-97.0,31,47.91856
-97.0,31,47.956707
-93.3,68,48.020985
-90.5,96,48.121898
-97.0,31,48.154976
-97.0,31,48.18608
-97.0,31,48.216118
-97.0,31,48.255809
-97.0,31,48.286145
-97.0,31,48.323353
-91.8,83,48.410479
-91.5,86,48.504776
-90.5,96,48.591201
-97.0,31,48.62746
-97.0,31,48.660545
-97.0,31,48.696989
-97.0,31,48.731105
-97.0,31,48.759368
-90.5,96,48.850524
-90.5,96,49.016292
-97.0,31,49.063504
-97.0,31,49.10009
-97.0,31,49.131198
-97.0,31,49.168539
-97.0,31,49.199172
-90.5,96,49.318081
-97.0,31,49.348811
-97.0,31,49.383946
-97.0,31,49.4163
-90.5,96,49.519473
-97.0,31,49.544818
-97.0,31,49.581002
-94.5,56,49.647755
-97.0,31,49.679626
-97.0,31,49.712896
-97.0,31,49.748668
-97.0,31,49.77961
-97.0,31,49.816784
-97.0,31,49.850713
-97.0,31,49.884683
-97.0,31,49.92831
-97.0,31,49.985596
-97.0,31,50.032765
-97.0,31,50.067004
-97.0,31,50.105082
-97.0,31,50.13819
-93.3,68,50.245774
-97.0,31,50.29018
-97.0,31,50.323143
-97.0,31,50.359073
-90.5,96,50.482382
-97.0,31,50.517736
-93.4,67,50.596599
-97.0,31,50.624982
-97.0,31,50.661444
-97.0,31,50.695118
-97.0,31,50.728545
-97.0,31,50.762638
-97.0,31,50.797365
-97.0,31,50.830378
-97.0,31,50.864101
-97.0,31,50.890433
-97.0,31,50.926737
-97.0,31,50.962589
-90.5,96,51.102894
-97.0,31,51.139567
-97.0,31,51.172129
-97.0,31,51.214265
-92.7,74,51.356145
-97.0,31,51.393105
-97.0,31,51.430229
-93.3,68,51.57695
-90.5,96,51.683738
-92.6,75,51.780822
-93.1,70,51.860755
-91.1,90,51.968261
-97.0,31,52.002847
-97.0,31,52.036282
-97.0,31,52.071128
-97.0,31,52.105721
-97.0,31,52.137972
-91.0,91,52.234246
-97.0,31,52.267403
-97.0,31,52.304858
-97.0,31,52.342092
-97.0,31,52.378782
-97.0,31,52.430134
-90.5,96,52.553983
-93.5,66,52.620086
-97.0,31,52.643467
-97.0,31,52.67513
-97.0,31,52.705498
-90.5,96,52.802893
-92.5,76,52.876364
-97.0,31,52.918953
-97.0,31,52.952291
-91.2,89,53.150835
-97.0,31,53.199376
-97.0,31,53.241096
-97.0,31,53.274968
-90.6,95,53.367417
-90.5,96,53.469078
-97.0,31,53.498208
-91.3,88,53.59222
-90.5,96,53.697658
-97.0,31,53.728886
