#{"t_start": 1761576449.4221244, "env_id": "None"}
r,l,t
-470.0,31,42.933805
-405.0,96,43.01659
-405.0,96,43.102976
-405.0,96,43.185331
-431.0,70,43.271367
-405.0,96,43.772075
-405.0,96,43.85438
-405.0,96,43.932737
-405.0,96,44.004819
-405.0,96,44.076438
-470.0,31,44.09931
-398.0,103,44.183158
-405.0,96,44.252642
-470.0,31,44.276479
-405.0,96,44.356336
-470.0,31,44.382449
-470.0,31,44.403569
-405.0,96,44.481429
-405.0,96,44.547049
-470.0,31,45.095289
-470.0,31,45.131825
-470.0,31,45.160547
-430.0,71,45.229371
-401.0,100,45.314905
-396.0,105,45.401742
-470.0,31,45.424696
-470.0,31,45.452072
-470.0,31,45.473756
-470.0,31,45.502501
-470.0,31,45.531814
-470.0,31,45.555418
-470.0,31,45.579705
-405.0,96,45.652621
-385.0,116,45.74086
-470.0,31,45.764661
-470.0,31,45.785352
-470.0,31,45.806411
-470.0,31,45.838243
-470.0,31,45.861936
-405.0,96,45.938051
-470.0,31,46.438114
-405.0,96,46.519228
-405.0,96,46.592071
-470.0,31,46.618845
-405.0,96,46.689957
-405.0,96,46.759328
-405.0,96,46.826192
-405.0,96,46.89517
-470.0,31,46.918906
-405.0,96,47.00112
-413.0,88,47.081832
-430.0,71,47.144554
-470.0,31,47.171906
-470.0,31,47.197156
-405.0,96,47.804297
-405.0,96,47.884984
-405.0,96,47.968422
-470.0,31,47.991946
-405.0,96,48.08117
-405.0,96,48.159472
-409.0,92,48.231924
-405.0,96,48.316714
-470.0,31,48.339264
-405.0,96,48.416576
-470.0,31,48.439543
-402.0,99,48.517734
-470.0,31,48.539769
-470.0,31,48.566166
-405.0,96,49.104362
-431.0,70,49.154325
-405.0,96,49.246768
-403.0,98,49.354642
-418.0,83,49.428272
-405.0,96,49.500092
-412.0,89,49.573444
-418.0,83,49.639536
-405.0,96,49.740671
-405.0,96,49.819704
-405.0,96,49.907145
-405.0,96,50.475846
-470.0,31,50.524375
-405.0,96,50.626308
-431.0,70,50.71643
-470.0,31,50.747705
-470.0,31,50.773766
-405.0,96,50.844725
-430.0,71,50.914842
-405.0,96,51.005613
-405.0,96,51.0749
-405.0,96,51.167992
-470.0,31,51.191586
-430.0,71,51.242142
-405.0,96,51.31672
-470.0,31,51.338579
-405.0,96,51.845694
-431.0,70,51.894417
-470.0,31,51.919886
-470.0,31,51.944734
-405.0,96,52.027364
-470.0,31,52.064582
-405.0,96,52.186935
-470.0,31,52.222518
-405.0,96,52.310957
-470.0,31,52.33895
-405.0,96,52.42356
-470.0,31,52.448234
-470.0,31,52.475336
-470.0,31,52.49848
-405.0,96,52.574785
-405.0,96,52.655178
-470.0,31,52.674772
-470.0,31,52.698777
-470.0,31,53.169624
-405.0,96,53.254904
-470.0,31,53.282697
