#{"t_start": 1761577018.0846298, "env_id": "None"}
r,l,t
-97.0,31,106.200714
-97.0,31,106.275679
-97.0,31,106.344262
-90.5,96,106.547687
-97.0,31,106.619046
-97.0,31,106.679915
-90.5,96,106.890789
-97.0,31,106.959693
-97.0,31,107.021049
-97.0,31,107.087372
-90.5,96,107.302685
-97.0,31,107.365678
-90.5,96,107.591903
-97.0,31,107.654387
-90.5,96,107.863947
-97.0,31,107.934677
-90.5,96,108.130711
-90.5,96,108.362018
-97.0,31,108.426137
-90.5,96,108.696886
-97.0,31,108.76128
-90.5,96,108.958004
-90.5,96,109.154783
-90.5,96,109.383646
-90.5,96,109.632513
-97.0,31,109.706419
-90.5,96,109.984316
-90.5,96,110.20479
-90.5,96,110.424211
-90.5,96,110.645678
-90.5,96,110.860737
-90.5,96,111.08113
-90.5,96,111.29397
-88.7,114,111.561574
-97.0,31,111.631937
-97.0,31,111.704695
-90.5,96,111.915071
-94.2,59,112.074673
-97.0,31,112.148435
-89.7,104,112.375597
-88.7,114,112.693948
-97.0,31,112.774729
-97.0,31,112.867481
-90.5,96,113.07784
-78.0,122,113.344499
-93.7,64,113.484708
-97.0,31,113.560722
-97.0,31,113.633623
-90.5,96,113.872367
-89.7,104,114.166536
-90.5,96,114.373942
-90.3,98,114.589508
-94.2,59,114.719556
-97.0,31,114.786208
-90.5,96,114.99897
-97.0,31,115.058424
-90.5,96,115.3002
-97.0,31,115.367762
-94.3,58,115.486726
-97.0,31,115.543862
-90.5,96,115.736087
-90.5,96,115.989664
-90.5,96,116.217047
-97.0,31,116.290781
-89.2,109,116.521003
-90.5,96,116.730618
-97.0,31,116.797946
-90.5,96,117.014282
-90.5,96,117.213095
-90.5,96,117.410427
-90.5,96,117.733204
-90.5,96,117.933768
-97.0,31,118.000154
-97.0,31,118.060869
-90.5,96,118.258396
-97.0,31,118.314667
-90.0,101,118.540454
-97.0,31,118.615745
-90.5,96,118.835471
-90.5,96,119.037056
-90.5,96,119.252917
-90.5,96,119.526065
-90.5,96,119.734028
-90.5,96,119.984922
-90.5,96,120.195488
-94.3,58,120.334684
-90.5,96,120.587671
-97.0,31,120.662496
-90.5,96,120.899043
-90.5,96,121.112673
-90.5,96,121.324413
-92.4,77,121.492804
-89.8,103,121.724757
-90.5,96,121.938785
-90.5,96,122.160085
-97.0,31,122.217957
-94.2,59,122.348418
-97.0,31,122.41626
-97.0,31,122.486381
-97.0,31,122.547731
-92.9,72,122.702843
-90.2,99,122.929687
-90.5,96,123.157539
-97.0,31,123.232004
-90.5,96,123.449974
-90.5,96,123.693128
-90.5,96,123.899388
-97.0,31,123.967426
-90.5,96,124.15981
-97.0,31,124.216313
-97.0,31,124.280251
-90.0,101,124.488096
-90.5,96,124.681938
-97.0,31,124.749453
