#{"t_start": 1761573077.6086333, "env_id": "None"}
r,l,t
-93.5,66,33.49865
-95.0,51,33.56566
-90.5,96,33.684728
-97.0,31,33.726206
-91.0,91,33.832526
-91.1,90,33.962557
-90.5,96,34.080762
-93.1,70,34.188879
-90.5,96,34.309757
-90.5,96,34.438248
-97.0,31,34.47649
-91.2,89,34.7882
-90.6,95,34.948232
-90.9,92,35.139944
-90.5,96,35.292884
-90.5,96,35.429765
-90.5,96,36.647038
-91.1,90,36.759262
-97.0,31,36.79732
-90.7,94,36.906917
-90.8,93,37.000973
-92.9,72,37.081286
-90.5,96,37.22156
-90.8,93,37.343374
-90.6,95,37.460344
-92.1,80,37.575042
-90.6,95,37.685529
-96.1,40,37.728294
-90.5,96,37.834105
-90.5,96,37.933319
-90.5,96,38.036056
-95.8,43,38.089081
-90.5,96,38.202117
-90.8,93,38.304297
-91.2,89,38.416206
-90.5,96,38.526724
-90.8,93,38.630143
-90.5,96,38.734061
-90.9,92,38.828576
-91.4,87,38.919086
-90.5,96,40.116559
-92.9,72,40.217649
-90.8,93,40.351237
-93.6,65,40.428382
-90.5,96,40.533343
-90.5,96,40.638965
-90.5,96,40.75003
-90.5,96,40.878478
-90.5,96,40.986584
-94.0,61,41.051512
-90.9,92,41.15282
-90.5,96,41.258954
-90.5,96,41.359232
-90.5,96,41.463602
-91.5,86,41.576376
-97.0,31,41.616682
-90.5,96,41.727906
-90.5,96,41.857305
-90.8,93,41.99412
-90.5,96,42.124161
-90.7,94,42.271168
-90.9,92,42.375222
-90.5,96,42.483183
-90.7,94,43.477787
-90.8,93,43.577394
-90.5,96,43.684244
-90.6,95,43.784509
-90.5,96,43.881413
-90.5,96,43.985071
-90.5,96,44.119087
-90.5,96,44.237638
-90.5,96,44.358253
-90.5,96,44.462286
-90.5,96,44.578048
-90.5,96,44.701683
-90.5,96,44.80708
-90.5,96,44.911355
-90.5,96,45.014656
-90.7,94,45.123369
-90.8,93,45.221585
-91.5,86,45.319759
-90.9,92,45.416768
-90.5,96,45.533149
-90.5,96,45.644835
-90.5,96,45.773853
-91.2,89,46.808275
-90.9,92,46.936792
-90.5,96,47.063001
-90.5,96,47.187296
-90.5,96,47.287442
-90.5,96,47.391547
-90.5,96,47.489366
-94.7,54,47.539978
-90.5,96,47.635628
-97.0,31,47.664186
-90.7,94,47.755364
-90.5,96,47.847383
-90.5,96,47.940001
-97.0,31,47.965953
-97.0,31,47.99509
-90.5,96,48.077565
-90.5,96,48.174547
-90.5,96,48.266514
-90.5,96,48.35622
-90.5,96,48.450683
-90.5,96,48.572275
-90.5,96,48.656453
-90.5,96,48.742472
-90.8,93,48.828115
-90.5,96,49.873932
-90.8,93,49.987195
-91.4,87,50.111857
-90.5,96,50.213105
-90.5,96,50.311894
-90.5,96,50.404723
-90.5,96,50.516279
-90.5,96,50.622906
-90.5,96,50.722171
-90.5,96,50.83409
-90.5,96,50.945239
-90.5,96,51.055692
-91.2,89,51.1604
-90.5,96,51.307418
-90.5,96,51.915359
-90.5,96,52.022669
-90.5,96,52.126635
-90.5,96,52.24849
-90.5,96,52.361166
-90.5,96,52.479856
-90.5,96,52.578356
-90.5,96,53.503097
-90.5,96,53.614262
-90.5,96,53.747971
-90.5,96,53.879165
-90.5,96,53.985987
-90.5,96,54.086678
-90.5,96,54.189665
-90.5,96,54.299765
-90.5,96,54.40098
-90.7,94,54.494965
-90.5,96,54.599418
-90.5,96,54.690005
-90.5,96,54.779486
-90.5,96,54.873664
-90.5,96,54.965409
-90.5,96,55.059247
-90.5,96,55.145207
-90.5,96,55.231512
-90.6,95,55.320698
-90.7,94,55.415305
-93.4,67,55.485074
-90.5,96,55.586682
-90.5,96,56.659543
-90.5,96,56.802873
-90.5,96,56.91918
-90.5,96,57.027209
-90.5,96,57.123058
-90.5,96,57.220359
-90.7,94,57.315507
-90.5,96,57.41108
-90.5,96,57.567001
-90.5,96,57.724917
-90.5,96,57.861338
-90.5,96,57.985378
-90.5,96,58.098857
-90.5,96,58.218764
-90.5,96,58.353177
-90.5,96,58.524894
-90.5,96,58.676334
-90.5,96,58.809319
-90.5,96,58.934738
-90.5,96,59.057148
-90.5,96,59.183077
-90.5,96,60.43079
-90.5,96,60.556781
-90.5,96,60.69977
-90.5,96,60.851893
-90.5,96,61.010217
-90.6,95,61.146211
-90.5,96,61.264912
-90.5,96,61.380455
-90.7,94,61.503247
-90.5,96,61.633537
-90.5,96,61.794711
-90.5,96,61.920595
